Dataset of Adaptive Responsive Architecture,,,,,,,,,,,,,,,,,,,,,,,
,Image,,Basic Information,,,,,Architect's Information,,Responsive ,,,,Geographic Information,,,,Climate,,,,,
,image A,image B,Building Name,Year (Completion),Floor area（m²）,Floor count,Type,Architect's Name,Architect's Nationality,Responsive to,Driving Mechanism,Structural Method,Material,Location Country,Location City,Longitude,Latitude,Lowest Temperature (°C),Highest Temperature (°C),Annual Average Temperature,Annual Precipitation (mm),Daily Average Precipitation (mm),Average Humidity（%）
001,001A,001B,Al Bahr Towers,2012,6503,29,office,AHR Architects,United Kingdom,S,E,J,M,United Arab Emirates,Abu Dhabi,24.4539° N,54.3773° E,13,45,27.9,42,0.12,60
002,002A,002B,Institute du Monde Arabe,1987,16894,10,office,"Jean Nouvel, Architecture-Studio",France,S,E,J,M,France,Paris,48.8496° N,2.3570° E,2,25,12,637,1.7,77
003,003A,003B,Urbach Tower,2019,50,1,station,ICD Research Buildings /ITKE University of Stuttgart,Germany,H,Z,I,W,Germany,"
Urbach",48.8706° N,9.5527° E,-4,35,10,800,2.2,75
004,004A,004B,HygroSkin-Meteorosensitive Pavilion,2013,50,1,pavilion,"Achim Menges Architect, Oliver David Krieg, Steffen Reichert",Germany,H,Z,I,W,France,Orléans-la-Source,47.9025° N,1.9090° E,-2,26,12,650,1.8,75
005,005A,005B,HygroShell,2023,50,1,experimental prototype,ICD Research Buildings,Germany,H,Z,I,W,United States of America,Chicago,41.8781° N,87.6298° W,-20,35,10,920,2.5,70
006,006A,006B,Bloom,2011,7.3,1,pavilion,DO|SU Studio Architecture,United States of America,S,Z,I,M,United States of America,Los Angeles,34.0522° N,118.2437° W,4,35,18,380,1.04,65
007,007A,007B,The Air Flow(er),2009,,,experimental prototype,LIFT Architecture,United States of America,T,Z,I,M,United States of America,Cambridge,42.3601° N,71.0942° W,-7,29,11,1100,3,65
008,008A,008B,livMatS Biomimetic Shell,2023,200,1,experimental prototype,ICD Research Buildings,Germany,S,Z,I,W,Germany,Freiburg,47.995° N,7.85° E,-21.6,40.2,11.6,676.1,1.85,75
009,009A,009B,Adaptive Façade,2003,,,office,Kas Oosterhuis,Netherlands,S、W,E,X,R,Netherlands,Rotterdam,51.9225°N,4.4792°E,0,22,11,850,2.33,80
