case_id,image_file,image,reference,SSIM_to_set_mean,mean_R,mean_G,mean_B,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hu_log_1,hu_log_2,hu_log_3,hu_log_4,hu_log_5,hu_log_6,hu_log_7
001,001A.jpg,,SET_A_MEAN_TEMPLATE,0.186554,126.995819,115.083588,103.003326,0.071536,0.030655,0.023908,0.036953,0.044808,0.031737,0.016075,0.023650,0.028509,0.033411,0.062117,0.039282,0.027295,0.019332,0.016039,0.041231,0.035743,0.010347,0.018555,0.024641,0.030289,0.026036,0.017887,0.021858,0.016055,0.013092,0.040358,0.044454,0.029756,0.019003,0.029935,0.075454,2.873630,9.152921,11.001472,10.911353,22.060184,-16.297269,21.98317082
002,002A.jpg,,SET_A_MEAN_TEMPLATE,0.074432,142.236954,179.760986,208.797791,0.119800,0.034289,0.022901,0.016226,0.015689,0.014057,0.013510,0.014032,0.016215,0.015946,0.016253,0.016329,0.017218,0.020993,0.029575,0.110012,0.123623,0.030617,0.022512,0.016994,0.016926,0.016001,0.016195,0.016112,0.014238,0.012856,0.014257,0.015756,0.017173,0.019826,0.035625,0.118246,3.069944,9.472328,12.018700,12.145086,-25.268583,16.889990,24.22877883
003,003A.jpg,,SET_A_MEAN_TEMPLATE,0.681468,148.082275,110.818344,57.311646,0.028683,0.028832,0.025990,0.023287,0.022309,0.022317,0.021133,0.022608,0.030811,0.032294,0.038323,0.048667,0.059368,0.069372,0.066872,0.053429,0.049667,0.036458,0.033390,0.027801,0.025472,0.020826,0.019534,0.018529,0.020387,0.018703,0.018915,0.018072,0.023296,0.022649,0.024501,0.027506,1.773114,6.497323,8.008738,7.990632,15.997770,11.247943,-16.7262664
004,004A.jpg,,SET_A_MEAN_TEMPLATE,0.483305,184.066849,147.374390,114.570374,0.026112,0.078287,0.053879,0.024367,0.025143,0.023534,0.021097,0.020903,0.024190,0.026065,0.040698,0.034083,0.021418,0.020865,0.025470,0.031607,0.060833,0.028246,0.025320,0.024985,0.022030,0.019506,0.020865,0.050425,0.030131,0.018895,0.020818,0.028242,0.048336,0.047119,0.030990,0.025542,2.484279,7.094235,9.564039,9.330112,19.074642,12.887075,18.84086218
005,005A.jpg,,SET_A_MEAN_TEMPLATE,0.589930,148.904861,114.630325,81.674133,0.089408,0.068640,0.054343,0.037481,0.026382,0.019225,0.015832,0.012456,0.010788,0.008753,0.007796,0.006981,0.006844,0.005829,0.006195,0.006242,0.006398,0.006749,0.007410,0.009278,0.012270,0.014562,0.019149,0.025482,0.033837,0.042127,0.046329,0.056486,0.070524,0.079420,0.089761,0.097020,2.064163,6.363685,8.003994,8.573810,17.475517,11.755883,-16.8760288
006,006A.jpg,,SET_A_MEAN_TEMPLATE,0.126296,91.244492,89.211105,91.194824,0.052266,0.049371,0.041111,0.033153,0.029696,0.027430,0.023891,0.022240,0.017835,0.015409,0.014612,0.015228,0.014486,0.014698,0.013686,0.015458,0.018581,0.028164,0.028056,0.040364,0.044176,0.042655,0.032300,0.029613,0.026736,0.029225,0.032602,0.035749,0.047132,0.053029,0.055756,0.055295,2.950105,8.214208,11.107179,11.930993,23.488299,16.390923,-23.84614353
007,007A.jpg,,SET_A_MEAN_TEMPLATE,0.181824,98.891296,98.857285,98.638382,0.181367,0.009723,0.008849,0.008653,0.014045,0.020443,0.027984,0.011373,0.016242,0.031482,0.017155,0.007667,0.005887,0.006508,0.007476,0.133198,0.173838,0.008591,0.006204,0.004986,0.007857,0.017992,0.026993,0.017729,0.015787,0.023695,0.016304,0.011947,0.007675,0.007188,0.010072,0.135091,2.745899,10.395035,13.230382,12.105418,25.175544,-17.302968,-24.81036638
008,008A.jpg,,SET_A_MEAN_TEMPLATE,0.269383,204.025024,207.522095,209.093323,0.090457,0.027864,0.031067,0.036767,0.035222,0.027603,0.026546,0.028865,0.032411,0.024740,0.024911,0.022498,0.019930,0.015570,0.011209,0.009405,0.010572,0.012079,0.011255,0.010207,0.011908,0.013938,0.023328,0.031154,0.048934,0.061591,0.052958,0.060559,0.055830,0.027567,0.024924,0.078131,2.579409,8.504969,10.278025,10.508759,-21.179104,-14.783429,20.97327777
009,009A.jpg,,SET_A_MEAN_TEMPLATE,0.210383,125.348465,47.628342,54.647827,0.008746,0.005796,0.004035,0.003640,0.003673,0.003754,0.004384,0.006002,0.006792,0.009713,0.014779,0.026213,0.042558,0.097780,0.173657,0.106153,0.071761,0.044338,0.034579,0.027831,0.027112,0.026118,0.021720,0.020098,0.016559,0.014254,0.017177,0.022375,0.030453,0.035078,0.060551,0.012321,2.609466,6.744735,9.125429,9.734981,19.910456,-13.115664,19.17231934
010,010A.jpg,,SET_A_MEAN_TEMPLATE,0.295947,160.543152,166.221191,161.483337,0.083028,0.016763,0.017293,0.023692,0.021478,0.014006,0.012155,0.007191,0.006792,0.005084,0.004933,0.004475,0.005085,0.008642,0.017193,0.231054,0.302365,0.018386,0.009525,0.005818,0.006292,0.008398,0.005740,0.009716,0.007963,0.007071,0.010149,0.009287,0.009207,0.009016,0.018163,0.084042,2.706182,7.804739,10.382067,10.760832,21.407300,14.719201,21.59950109
011,011A.jpg,,SET_A_MEAN_TEMPLATE,0.227404,116.803391,118.626251,112.536301,0.257562,0.173191,0.095773,0.042570,0.015941,0.008567,0.003202,0.002095,0.001919,0.001457,0.001390,0.001516,0.001248,0.001257,0.001540,0.001731,0.002486,0.004218,0.005696,0.004573,0.002825,0.002120,0.001732,0.001685,0.001993,0.002324,0.003002,0.004298,0.009657,0.018236,0.059843,0.264352,2.764580,9.796465,10.325398,10.281323,-21.183942,-15.598970,20.5988866
012,012A.jpg,,SET_A_MEAN_TEMPLATE,0.141634,120.519608,111.763184,98.873489,0.188417,0.102311,0.065364,0.036756,0.022624,0.017079,0.012324,0.011336,0.008882,0.007190,0.007024,0.006075,0.006264,0.005613,0.005870,0.007919,0.007155,0.008377,0.006137,0.006227,0.006143,0.007035,0.007023,0.008769,0.009660,0.012923,0.016787,0.022118,0.031417,0.054854,0.100345,0.183983,2.843784,8.201980,11.355864,12.790339,25.235923,17.109810,-24.90650318
013,013A.jpg,,SET_A_MEAN_TEMPLATE,0.063296,120.047058,88.238602,71.682892,0.373394,0.064475,0.029218,0.016518,0.010229,0.006832,0.004811,0.003414,0.003261,0.002652,0.002830,0.002685,0.002889,0.003342,0.005722,0.008536,0.007909,0.004187,0.003264,0.002868,0.002307,0.002891,0.003455,0.004041,0.004309,0.004930,0.007040,0.008919,0.014571,0.026531,0.053964,0.308007,3.071597,8.549877,12.061961,12.106151,24.354723,-16.386640,-24.32756813
014,014A.jpg,,SET_A_MEAN_TEMPLATE,0.064026,142.527130,138.366882,129.681000,0.190206,0.069327,0.029167,0.017424,0.012434,0.009991,0.008915,0.007147,0.009032,0.008828,0.008205,0.009460,0.012779,0.015259,0.020496,0.051101,0.049929,0.017563,0.011419,0.009136,0.008143,0.006865,0.006913,0.007408,0.007736,0.009202,0.010823,0.013478,0.019158,0.037131,0.094529,0.210798,3.204228,8.757508,11.516668,12.696290,-24.808884,-17.075255,-25.5809061
015,015A.jpg,,SET_A_MEAN_TEMPLATE,0.095829,160.109634,122.107269,81.601563,0.293100,0.049736,0.022302,0.014962,0.011591,0.009659,0.008154,0.006671,0.006408,0.006277,0.006138,0.007637,0.009473,0.013990,0.020394,0.014566,0.007538,0.004288,0.003500,0.002836,0.002691,0.002498,0.002581,0.002862,0.003157,0.003966,0.005054,0.007170,0.012220,0.019363,0.047785,0.371434,3.024269,10.007649,12.025777,11.933411,23.954901,-17.167247,24.29090924
016,016A.jpg,,SET_A_MEAN_TEMPLATE,0.263914,195.325485,198.072113,194.868973,0.049102,0.027552,0.023858,0.022790,0.024509,0.022013,0.021423,0.022570,0.025515,0.026945,0.033112,0.037850,0.038619,0.034201,0.034645,0.040309,0.036999,0.037959,0.041680,0.037453,0.033288,0.031927,0.029434,0.023640,0.026191,0.024918,0.026487,0.028474,0.026969,0.029622,0.029835,0.050111,2.787817,7.761213,13.705529,10.460494,22.950356,14.355528,22.57970944
