case_id,image_file,image,reference,SSIM_to_set_mean,mean_R,mean_G,mean_B,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hu_log_1,hu_log_2,hu_log_3,hu_log_4,hu_log_5,hu_log_6,hu_log_7
001,001B.jpg,,SET_B_MEAN_TEMPLATE,0.430285,137.341095,140.649582,144.972580,0.107938,0.050819,0.038738,0.036337,0.035443,0.027789,0.018712,0.016469,0.015959,0.014390,0.015019,0.016286,0.017684,0.020359,0.019812,0.026122,0.031770,0.021517,0.017908,0.016736,0.015044,0.014471,0.013109,0.013258,0.016830,0.019689,0.030547,0.040561,0.045975,0.055261,0.054761,0.114688,2.767289,6.825112,8.861074,12.520423,-23.341551,-16.111842,23.3838804
002,002B.jpg,,SET_B_MEAN_TEMPLATE,0.330514,60.732544,76.942917,84.045990,0.055628,0.026750,0.018749,0.016742,0.014919,0.016560,0.016209,0.015084,0.016344,0.019649,0.019873,0.020001,0.021121,0.027014,0.046135,0.132810,0.141492,0.044286,0.026909,0.021794,0.019607,0.019304,0.017980,0.016929,0.017095,0.014952,0.017334,0.015769,0.019632,0.021757,0.030216,0.071356,2.651214,6.013332,9.582124,9.470123,-19.175804,13.109354,-19.12114864
003,003B.jpg,,SET_B_MEAN_TEMPLATE,0.546884,180.289383,168.249359,158.388458,0.074161,0.073659,0.054106,0.027474,0.016427,0.012367,0.011021,0.013760,0.018449,0.017683,0.019997,0.025033,0.029871,0.031516,0.039937,0.053488,0.066125,0.047858,0.035256,0.029749,0.028592,0.020411,0.016313,0.014829,0.013408,0.013366,0.012302,0.014534,0.014583,0.027619,0.044177,0.081926,2.389378,6.656808,8.086999,8.540472,16.896398,11.971208,-17.23073458
004,004B.jpg,,SET_B_MEAN_TEMPLATE,0.378915,129.995392,122.875977,101.926895,0.037822,0.037230,0.034655,0.031766,0.029814,0.025946,0.025996,0.024952,0.026619,0.030134,0.032355,0.029417,0.029073,0.033007,0.040246,0.068214,0.053609,0.044406,0.031244,0.026827,0.025846,0.024259,0.022987,0.021834,0.023565,0.021220,0.022473,0.024954,0.027536,0.028335,0.030916,0.032739,2.705235,6.417591,9.687648,10.825768,21.673648,14.034663,21.09723514
005,005B.jpg,,SET_B_MEAN_TEMPLATE,0.287175,96.649643,91.013763,87.053253,0.067118,0.047193,0.024532,0.033363,0.021156,0.017836,0.018991,0.022431,0.027838,0.021391,0.020016,0.016148,0.022072,0.021965,0.036802,0.085376,0.086624,0.032958,0.028559,0.017919,0.017036,0.021721,0.023836,0.027511,0.021775,0.020387,0.018646,0.018515,0.018470,0.022362,0.049044,0.070410,2.497897,8.382766,9.183668,9.255312,18.483730,13.832448,19.17225319
006,006B.jpg,,SET_B_MEAN_TEMPLATE,0.277628,105.761261,123.785492,126.550003,0.073235,0.039749,0.035719,0.033227,0.030834,0.030092,0.028112,0.026388,0.027824,0.026731,0.025735,0.023482,0.025081,0.027789,0.028543,0.038902,0.039826,0.027141,0.023692,0.025626,0.025471,0.030628,0.030199,0.030763,0.025976,0.024783,0.025914,0.026084,0.030113,0.029549,0.035733,0.047060,2.874887,7.423512,9.603807,10.585621,20.689721,14.325720,21.36716512
007,007B.jpg,,SET_B_MEAN_TEMPLATE,0.051581,96.723511,96.702621,96.562332,0.073763,0.021670,0.015774,0.018029,0.023002,0.026266,0.035245,0.036752,0.037352,0.037513,0.033646,0.019439,0.014360,0.014689,0.021230,0.072467,0.076765,0.021017,0.016026,0.015266,0.019802,0.022787,0.050794,0.032546,0.036477,0.040368,0.021198,0.022056,0.017825,0.017709,0.022696,0.065472,3.186396,9.912583,13.442601,13.411660,26.845435,-18.570748,27.58796966
008,008B.jpg,,SET_B_MEAN_TEMPLATE,0.408888,163.699646,165.183929,154.773041,0.051047,0.030851,0.024078,0.021550,0.015183,0.020094,0.018262,0.020064,0.025051,0.018638,0.027990,0.022520,0.032450,0.034316,0.046832,0.087433,0.111327,0.044919,0.032225,0.023919,0.026277,0.021878,0.019253,0.025765,0.018107,0.022520,0.016783,0.017735,0.022117,0.023070,0.028860,0.048886,2.818842,6.687074,9.390167,10.735815,21.934356,-14.677647,20.79997189
009,009B.jpg,,SET_B_MEAN_TEMPLATE,0.229886,122.627853,105.603622,109.914902,0.071812,0.038426,0.027893,0.019896,0.017462,0.014871,0.012316,0.013104,0.013160,0.013036,0.012333,0.015118,0.016610,0.021121,0.026146,0.031944,0.037240,0.038702,0.046852,0.046832,0.035951,0.031290,0.025699,0.026314,0.026872,0.026185,0.029338,0.029774,0.034570,0.044662,0.058277,0.096194,2.765868,7.729448,10.335544,10.270753,-20.593698,-14.246250,21.10380631
010,010B.jpg,,SET_B_MEAN_TEMPLATE,0.478396,102.242905,108.211395,124.974777,0.065920,0.026826,0.018209,0.015645,0.014510,0.012773,0.011145,0.011377,0.012708,0.011144,0.013964,0.015819,0.020830,0.025615,0.040139,0.121464,0.186084,0.068514,0.035268,0.026308,0.018652,0.014692,0.016180,0.010598,0.014451,0.013341,0.012818,0.014217,0.016073,0.018964,0.026089,0.069663,2.757658,5.830292,10.654646,10.031895,20.409319,12.967967,-20.7936773
011,011B.jpg,,SET_B_MEAN_TEMPLATE,0.604031,107.756409,137.505966,168.806686,0.019903,0.014100,0.013791,0.012982,0.013839,0.012206,0.013395,0.012708,0.019069,0.018556,0.026318,0.033505,0.037338,0.046772,0.067443,0.180145,0.159213,0.057038,0.036457,0.026400,0.025394,0.018997,0.016709,0.012444,0.013927,0.011073,0.010615,0.012644,0.013966,0.013792,0.014547,0.014715,2.404441,5.576686,9.320625,8.488597,-17.972895,-12.377097,17.40879984
012,012B.jpg,,SET_B_MEAN_TEMPLATE,0.289570,124.990051,130.262985,131.698105,0.092288,0.043850,0.028561,0.021465,0.018216,0.013732,0.011423,0.010844,0.010887,0.010809,0.011990,0.014320,0.016484,0.021376,0.031829,0.163873,0.093172,0.038574,0.022874,0.017477,0.014001,0.012478,0.011022,0.010323,0.011804,0.011739,0.014723,0.018033,0.022509,0.031775,0.051143,0.096405,2.926691,9.555910,9.683452,11.020982,21.779823,16.271945,-21.40944355
