sample_id,set,cluster,condition,replicate,target_text_similarity,target_text_margin_vs_max_other,target_text_top1,visual_prototype_similarity,visual_prototype_margin_vs_max_other,visual_prototype_top1
A0_F_R7,A,0,Free,7,0.22683656215667725,-0.009699627757072449,0,0.7906383275985718,0.00386887788772583,1
A0_F_R8,A,0,Free,8,0.2880943715572357,-0.041567325592041016,0,0.8798139095306396,-0.014508247375488281,0
A0_F_R9,A,0,Free,9,0.2912696599960327,-0.0277557373046875,0,0.8764879703521729,0.013353824615478516,1
A0_S_R7,A,0,Semantic,7,0.32693198323249817,-0.005751132965087891,0,0.865027129650116,0.0036684274673461914,1
A0_S_R8,A,0,Semantic,8,0.30620110034942627,-0.010722696781158447,0,0.8522301912307739,-0.014639616012573242,0
A0_S_R9,A,0,Semantic,9,0.33883532881736755,0.004697889089584351,1,0.8377851247787476,-0.014989256858825684,0
A1_F_R7,A,1,Free,7,0.24294333159923553,-0.03034861385822296,0,0.7657634019851685,-0.010852575302124023,0
A1_F_R8,A,1,Free,8,0.2685626447200775,-0.033373504877090454,0,0.7959111332893372,-0.042403340339660645,0
A1_F_R9,A,1,Free,9,0.2646467685699463,-0.043596506118774414,0,0.8083661198616028,-0.0305061936378479,0
A1_S_R7,A,1,Semantic,7,0.27401965856552124,0.01677730679512024,1,0.8340355157852173,-0.012029707431793213,0
A1_S_R8,A,1,Semantic,8,0.2776471674442291,0.02678665518760681,1,0.8457163572311401,0.00004839897155761719,1
A1_S_R9,A,1,Semantic,9,0.30323320627212524,0.003954857587814331,1,0.8287324905395508,-0.0172690749168396,0
A2_F_R7,A,2,Free,7,0.2849820852279663,-0.02805495262145996,0,0.7983301877975464,-0.05028855800628662,0
A2_F_R8,A,2,Free,8,0.3136594891548157,-0.015129119157791138,0,0.847725510597229,-0.058321237564086914,0
A2_F_R9,A,2,Free,9,0.28671884536743164,-0.023259133100509644,0,0.7876132726669312,-0.04713648557662964,0
A2_S_R7,A,2,Semantic,7,0.3551217317581177,0.024800777435302734,1,0.9321193695068359,-0.01108407974243164,0
A2_S_R8,A,2,Semantic,8,0.3017137944698334,0.0001596212387084961,1,0.9056742787361145,0.01128309965133667,1
A2_S_R9,A,2,Semantic,9,0.32734206318855286,0.01209026575088501,1,0.9248111248016357,0.004334390163421631,1
A3_F_R7,A,3,Free,7,0.26409977674484253,-0.00508427619934082,0,0.8212766647338867,-0.018900632858276367,0
A3_F_R8,A,3,Free,8,0.30973199009895325,-0.009634196758270264,0,0.8746057152748108,-0.035380423069000244,0
A3_F_R9,A,3,Free,9,0.3019195795059204,-0.04020732641220093,0,0.8483251929283142,-0.04695183038711548,0
A3_S_R7,A,3,Semantic,7,0.3460468053817749,0.00843513011932373,1,0.8888450860977173,0.0051697492599487305,1
A3_S_R8,A,3,Semantic,8,0.3212084174156189,0.020338892936706543,1,0.8603271842002869,0.005422115325927734,1
A3_S_R9,A,3,Semantic,9,0.31968116760253906,0.014049917459487915,1,0.8696455955505371,0.0016047954559326172,1
A4_F_R7,A,4,Free,7,0.2967422604560852,-0.05473300814628601,0,0.8378560543060303,-0.08569890260696411,0
A4_F_R8,A,4,Free,8,0.25386476516723633,-0.023535728454589844,0,0.782717764377594,-0.04196256399154663,0
A4_F_R9,A,4,Free,9,0.2436310350894928,-0.05458313226699829,0,0.8274562954902649,-0.013625860214233398,0
A4_S_R7,A,4,Semantic,7,0.3229352533817291,0.010596781969070435,1,0.8532750606536865,-0.042063772678375244,0
A4_S_R8,A,4,Semantic,8,0.27430951595306396,-0.004312276840209961,0,0.8156167268753052,-0.017836272716522217,0
A4_S_R9,A,4,Semantic,9,0.34816548228263855,0.001558452844619751,1,0.893017590045929,-0.0447046160697937,0
A5_F_R7,A,5,Free,7,0.29020798206329346,-0.004709750413894653,0,0.8460445404052734,-0.010789930820465088,0
A5_F_R8,A,5,Free,8,0.3621641993522644,0.026139110326766968,1,0.9125488996505737,0.007069587707519531,1
A5_F_R9,A,5,Free,9,0.27987509965896606,0.013399183750152588,1,0.8005764484405518,-0.011407732963562012,0
A5_S_R7,A,5,Semantic,7,0.31885188817977905,0.008224725723266602,1,0.8980706930160522,0.0022997260093688965,1
A5_S_R8,A,5,Semantic,8,0.3297136425971985,0.03762519359588623,1,0.8855401873588562,-0.0005976557731628418,0
A5_S_R9,A,5,Semantic,9,0.33138447999954224,0.017032980918884277,1,0.9040725231170654,0.009084999561309814,1
B0_F_R7,B,0,Free,7,0.28705647587776184,-0.03496244549751282,0,0.7651934623718262,-0.06282109022140503,0
B0_F_R8,B,0,Free,8,0.28768670558929443,-0.03244364261627197,0,0.8300589323043823,-0.03403210639953613,0
B0_F_R9,B,0,Free,9,0.2797542214393616,-0.03219008445739746,0,0.8077178001403809,-0.0718376636505127,0
B0_S_R7,B,0,Semantic,7,0.3438093662261963,0.022532135248184204,1,0.8183222413063049,-0.010645091533660889,0
B0_S_R8,B,0,Semantic,8,0.33158400654792786,0.011621654033660889,1,0.8605343103408813,0.015650928020477295,1
B0_S_R9,B,0,Semantic,9,0.35131528973579407,0.005305349826812744,1,0.8357282876968384,-0.02623426914215088,0
B1_F_R7,B,1,Free,7,0.30364495515823364,0.0024135708808898926,1,0.7059084177017212,-0.15122848749160767,0
B1_F_R8,B,1,Free,8,0.31266558170318604,0.01144227385520935,1,0.7071070671081543,-0.1640499234199524,0
B1_F_R9,B,1,Free,9,0.3204417824745178,-0.0010467767715454102,0,0.6772290468215942,-0.1497889757156372,0
B1_S_R7,B,1,Semantic,7,0.3648412823677063,0.01912212371826172,1,0.7998619675636292,-0.10333895683288574,0
B1_S_R8,B,1,Semantic,8,0.3598579466342926,0.026161015033721924,1,0.8124783635139465,-0.08974617719650269,0
B1_S_R9,B,1,Semantic,9,0.3536577522754669,0.016764730215072632,1,0.7712260484695435,-0.1116713285446167,0
B2_F_R7,B,2,Free,7,0.27089744806289673,-0.03947201371192932,0,0.7425111532211304,-0.1171884536743164,0
B2_F_R8,B,2,Free,8,0.2695620357990265,-0.05113539099693298,0,0.7497823238372803,-0.11138474941253662,0
B2_F_R9,B,2,Free,9,0.2750648260116577,-0.029849886894226074,0,0.7436724901199341,-0.1047520637512207,0
B2_S_R7,B,2,Semantic,7,0.3112393021583557,-0.006419569253921509,0,0.8123971223831177,-0.022142231464385986,0
B2_S_R8,B,2,Semantic,8,0.29669812321662903,-0.01298445463180542,0,0.7848638296127319,-0.02371346950531006,0
B2_S_R9,B,2,Semantic,9,0.3056282103061676,0.01201525330543518,1,0.8084619045257568,-0.006608426570892334,0
B3_F_R7,B,3,Free,7,0.28512752056121826,-0.028093427419662476,0,0.8344011306762695,-0.02001345157623291,0
B3_F_R8,B,3,Free,8,0.2722666561603546,-0.024818986654281616,0,0.8168226480484009,-0.01663517951965332,0
B3_F_R9,B,3,Free,9,0.28874483704566956,-0.017811447381973267,0,0.8237054347991943,0.021199822425842285,1
B3_S_R7,B,3,Semantic,7,0.29665613174438477,-0.0106583833694458,0,0.7935671806335449,0.046765029430389404,1
B3_S_R8,B,3,Semantic,8,0.30023738741874695,0.0038995444774627686,1,0.8106800317764282,0.04988241195678711,1
B3_S_R9,B,3,Semantic,9,0.2853020429611206,-0.005112320184707642,0,0.798187255859375,0.041997671127319336,1
B4_F_R7,B,4,Free,7,0.29795607924461365,0.0036797821521759033,1,0.7567887902259827,-0.03245443105697632,0
B4_F_R8,B,4,Free,8,0.2867892384529114,-0.007599502801895142,0,0.8033795356750488,-0.047718048095703125,0
B4_F_R9,B,4,Free,9,0.29659050703048706,-0.007884740829467773,0,0.8315017819404602,-0.009440779685974121,0
B4_S_R7,B,4,Semantic,7,0.3557169735431671,0.010650843381881714,1,0.838316023349762,0.011842846870422363,1
B4_S_R8,B,4,Semantic,8,0.35464203357696533,0.01978015899658203,1,0.8473056554794312,-0.009765982627868652,0
B4_S_R9,B,4,Semantic,9,0.3523522913455963,0.031585484743118286,1,0.8301610946655273,0.0024814605712890625,1
B5_F_R7,B,5,Free,7,0.29936647415161133,-0.01110750436782837,0,0.8402439951896667,0.005275428295135498,1
B5_F_R8,B,5,Free,8,0.30216413736343384,-0.020585745573043823,0,0.8803752660751343,0.0095900297164917,1
B5_F_R9,B,5,Free,9,0.3086722195148468,-0.007936328649520874,0,0.8476887941360474,0.001404404640197754,1
B5_S_R7,B,5,Semantic,7,0.3230202794075012,0.003216177225112915,1,0.7807000875473022,-0.005023539066314697,0
B5_S_R8,B,5,Semantic,8,0.33304154872894287,0.0018993020057678223,1,0.8042043447494507,-0.004508554935455322,0
B5_S_R9,B,5,Semantic,9,0.32583704590797424,0.004382818937301636,1,0.8019993901252747,-0.02047574520111084,0
