Set,Condition,Target_Cluster,Predicted_Cluster,Count
A,Free,0,0,4
A,Free,0,1,0
A,Free,0,2,0
A,Free,0,3,1
A,Free,0,4,0
A,Free,0,5,1
A,Free,1,0,4
A,Free,1,1,0
A,Free,1,2,0
A,Free,1,3,2
A,Free,1,4,0
A,Free,1,5,0
A,Free,2,0,4
A,Free,2,1,0
A,Free,2,2,0
A,Free,2,3,1
A,Free,2,4,0
A,Free,2,5,1
A,Free,3,0,4
A,Free,3,1,0
A,Free,3,2,0
A,Free,3,3,0
A,Free,3,4,0
A,Free,3,5,2
A,Free,4,0,3
A,Free,4,1,0
A,Free,4,2,0
A,Free,4,3,1
A,Free,4,4,0
A,Free,4,5,2
A,Free,5,0,5
A,Free,5,1,0
A,Free,5,2,0
A,Free,5,3,0
A,Free,5,4,0
A,Free,5,5,1
A,Semantic,0,0,3
A,Semantic,0,1,2
A,Semantic,0,2,0
A,Semantic,0,3,0
A,Semantic,0,4,0
A,Semantic,0,5,1
A,Semantic,1,0,1
A,Semantic,1,1,1
A,Semantic,1,2,3
A,Semantic,1,3,1
A,Semantic,1,4,0
A,Semantic,1,5,0
A,Semantic,2,0,1
A,Semantic,2,1,0
A,Semantic,2,2,5
A,Semantic,2,3,0
A,Semantic,2,4,0
A,Semantic,2,5,0
A,Semantic,3,0,0
A,Semantic,3,1,0
A,Semantic,3,2,0
A,Semantic,3,3,6
A,Semantic,3,4,0
A,Semantic,3,5,0
A,Semantic,4,0,2
A,Semantic,4,1,1
A,Semantic,4,2,0
A,Semantic,4,3,0
A,Semantic,4,4,0
A,Semantic,4,5,3
A,Semantic,5,0,0
A,Semantic,5,1,1
A,Semantic,5,2,0
A,Semantic,5,3,2
A,Semantic,5,4,0
A,Semantic,5,5,3
B,Free,0,0,0
B,Free,0,1,0
B,Free,0,2,0
B,Free,0,3,1
B,Free,0,4,0
B,Free,0,5,5
B,Free,1,0,0
B,Free,1,1,0
B,Free,1,2,0
B,Free,1,3,2
B,Free,1,4,0
B,Free,1,5,4
B,Free,2,0,0
B,Free,2,1,0
B,Free,2,2,0
B,Free,2,3,2
B,Free,2,4,0
B,Free,2,5,4
B,Free,3,0,0
B,Free,3,1,0
B,Free,3,2,0
B,Free,3,3,1
B,Free,3,4,0
B,Free,3,5,5
B,Free,4,0,0
B,Free,4,1,0
B,Free,4,2,0
B,Free,4,3,1
B,Free,4,4,0
B,Free,4,5,5
B,Free,5,0,0
B,Free,5,1,0
B,Free,5,2,0
B,Free,5,3,2
B,Free,5,4,0
B,Free,5,5,4
B,Semantic,0,0,3
B,Semantic,0,1,0
B,Semantic,0,2,0
B,Semantic,0,3,0
B,Semantic,0,4,3
B,Semantic,0,5,0
B,Semantic,1,0,0
B,Semantic,1,1,0
B,Semantic,1,2,0
B,Semantic,1,3,0
B,Semantic,1,4,6
B,Semantic,1,5,0
B,Semantic,2,0,0
B,Semantic,2,1,0
B,Semantic,2,2,0
B,Semantic,2,3,6
B,Semantic,2,4,0
B,Semantic,2,5,0
B,Semantic,3,0,0
B,Semantic,3,1,0
B,Semantic,3,2,0
B,Semantic,3,3,6
B,Semantic,3,4,0
B,Semantic,3,5,0
B,Semantic,4,0,0
B,Semantic,4,1,0
B,Semantic,4,2,0
B,Semantic,4,3,2
B,Semantic,4,4,4
B,Semantic,4,5,0
B,Semantic,5,0,0
B,Semantic,5,1,0
B,Semantic,5,2,0
B,Semantic,5,3,5
B,Semantic,5,4,0
B,Semantic,5,5,1
