image_file,original_cluster,masked_cluster,changed
001B.jpg,Cluster 0,Cluster 0,False
002B.jpg,Cluster 3,Cluster 3,False
003B.jpg,Cluster 3,Cluster 3,False
004B.jpg,Cluster 4,Cluster 4,False
005B.jpg,Cluster 0,Cluster 0,False
006B.jpg,Cluster 1,Cluster 1,False
007B.jpg,Cluster 1,Cluster 1,False
008B.jpg,Cluster 3,Cluster 3,False
009B.jpg,Cluster 0,Cluster 0,False
010B.jpg,Cluster 5,Cluster 5,False
011B.jpg,Cluster 2,Cluster 2,False
012B.jpg,Cluster 5,Cluster 5,False
013B.jpg,Cluster 0,Cluster 0,False
014B.jpg,Cluster 0,Cluster 0,False
015B.jpg,Cluster 0,Cluster 0,False
016B.jpg,Cluster 1,Cluster 1,False
017B.jpg,Cluster 3,Cluster 3,False
018B.jpg,Cluster 3,Cluster 3,False
019B.jpg,Cluster 5,Cluster 5,False
020B.jpg,Cluster 4,Cluster 4,False
021B.jpg,Cluster 1,Cluster 1,False
022B.jpg,Cluster 3,Cluster 3,False
023B.jpg,Cluster 4,Cluster 4,False
024B.jpg,Cluster 2,Cluster 2,False
025B.jpg,Cluster 1,Cluster 1,False
026B.jpg,Cluster 0,Cluster 5,True
027B.jpg,Cluster 2,Cluster 2,False
028B.jpg,Cluster 3,Cluster 3,False
029B.jpg,Cluster 5,Cluster 5,False
030B.jpg,Cluster 3,Cluster 3,False
031B.jpg,Cluster 1,Cluster 1,False
032B.jpg,Cluster 1,Cluster 1,False
033B.jpg,Cluster 0,Cluster 0,False
034B.jpg,Cluster 0,Cluster 0,False
035B.jpg,Cluster 2,Cluster 2,False
036B.jpg,Cluster 4,Cluster 4,False
037B.jpg,Cluster 0,Cluster 0,False
038B.jpg,Cluster 3,Cluster 3,False
039B.jpg,Cluster 4,Cluster 4,False
040B.jpg,Cluster 1,Cluster 1,False
041B.jpg,Cluster 1,Cluster 1,False
042B.jpg,Cluster 4,Cluster 4,False
043B.jpg,Cluster 0,Cluster 0,False
044B.jpg,Cluster 0,Cluster 0,False
045B.jpg,Cluster 1,Cluster 1,False
046B.jpg,Cluster 4,Cluster 4,False
047B.jpg,Cluster 4,Cluster 4,False
048B.jpg,Cluster 3,Cluster 3,False
049B.jpg,Cluster 3,Cluster 5,True
050B.jpg,Cluster 5,Cluster 5,False
051B.jpg,Cluster 3,Cluster 3,False
052B.jpg,Cluster 5,Cluster 5,False
053B.jpg,Cluster 2,Cluster 2,False
054B.jpg,Cluster 0,Cluster 0,False
055B.jpg,Cluster 3,Cluster 3,False
056B.jpg,Cluster 0,Cluster 0,False
057B.jpg,Cluster 3,Cluster 3,False
058B.jpg,Cluster 0,Cluster 0,False
059B.jpg,Cluster 0,Cluster 0,False
060B.jpg,Cluster 0,Cluster 0,False
061B.jpg,Cluster 0,Cluster 5,True
062B.jpg,Cluster 5,Cluster 5,False
063B.jpg,Cluster 3,Cluster 3,False
064B.jpg,Cluster 4,Cluster 4,False
065B.jpg,Cluster 3,Cluster 3,False
066B.jpg,Cluster 5,Cluster 5,False
067B.jpg,Cluster 4,Cluster 4,False
068B.jpg,Cluster 1,Cluster 1,False
069B.jpg,Cluster 2,Cluster 2,False
070B.jpg,Cluster 3,Cluster 3,False
071B.jpg,Cluster 1,Cluster 1,False
072B.jpg,Cluster 0,Cluster 0,False
073B.jpg,Cluster 2,Cluster 2,False
074B.jpg,Cluster 0,Cluster 0,False
075B.jpg,Cluster 2,Cluster 2,False
